company,funding_stage
NeuroGenix,Series B
HepaLife Sciences,Series A
BioNova AG,Series C
LiverTech Inc,Series B
HepatoWorks,Series B
BioAdvance,Series A
GenomicX,Series C
NeoThera,Series A
HepatoGen,Series C
EarlyBio Labs,Seed
LiverNova,Series B
BioCore AG,Series C
HepaNext,Series A
TheraLabs,Series B
PharmaZen,Series C
HepatoCare,Series B
BioInsight,Series A
NovoBio,Seed
LiverSafe,Series C
BioVector AG,Series B
HepaFlow,Seed
MedHep,Series B
RusBioTech,Series A
OncoLiver,Series C
HepaCore,Series B
BioAxis,Seed
TheraGen,Series A
HepaBridge,Series B
BioHep Solutions,Series C
HepatoRx,Series A
LiverPoint,Series B
BioStruct AG,Series C
BioLiver,Seed
HepatoDynamics,Series B
TheraBio,Series A
HepaSystems,Series C
BioMedica,Series B
HepatoLab,Series A
LiverCore,Series C
HepaQuest,Seed
BioTox Solutions,Series B
PharmaHep,Series C
HepaInsights,Series A
BioRisk AG,Series B
LiverPath,Series A
HepatoLogic,Series C
BioHep Korea,Seed
BioLiverX,Series A
HepatoNova,Series C
BioHep Europe,Series B
